# Directed graph: soc-sign-Slashdot090221
# Slashdot Zoo signed social network from February 21 2009
# Nodes: 82144 Edges: 549202
# FromNodeId	ToNodeId	Sign
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
0	15	1
0	16	1
0	17	1
0	18	1
0	19	1
0	20	1
0	21	1
0	22	1
0	23	1
0	24	1
0	25	-1
0	26	-1
0	27	-1
0	28	-1
0	29	-1
1	0	1
1	4	1
1	9	1
1	31	1
1	41	1
1	52	1
1	98	1
1	118	1
1	170	1
1	530	-1
1	613	1
1	614	1
1	615	1
1	616	1
1	617	1
1	618	1
1	619	1
1	620	1
1	621	1
1	622	1
1	623	1
1	624	1
1	625	1
1	626	1
1	627	1
1	628	1
1	629	1
1	630	1
1	631	1
1	632	1
1	633	1
1	634	1
1	635	1
1	636	1
1	637	1
1	638	1
1	639	1
1	640	1
1	641	1
1	642	1
1	643	1
1	644	1
1	645	1
1	646	1
1	647	1
1	648	1
1	649	1
1	650	1
1	651	1
1	652	1
1	653	1
1	654	1
1	655	1
1	656	1
1	657	1
1	658	1
1	659	1
1	660	1
1	661	1
1	662	1
1	663	1
1	664	1
1	665	1
1	666	1
1	667	1
1	668	1
1	669	1
1	670	1
1	671	1
1	672	1
1	673	1
1	674	1
1	675	-1
1	676	-1
1	677	-1
1	678	-1
1	679	-1
1	680	-1
1	681	-1
1	682	-1
1	683	-1
1	684	-1
1	685	-1
1	686	-1
1	687	-1
1	688	-1
1	689	-1
1	690	-1
1	691	-1
1	692	-1
1	693	-1
1	694	-1
1	695	-1
1	696	-1
1	697	-1
3	0	1
3	8	1
3	9	1
3	17	1
3	47	1
3	48	1
3	55	1
3	98	1
3	114	1
3	698	1
3	699	1
4	700	1
5	15	1
5	31	1
5	33	1
5	41	1
5	47	1
5	52	1
5	55	1
5	58	1
5	59	1
5	80	1
5	98	1
5	111	1
5	172	1
5	191	1
5	626	1
5	636	1
5	701	1
5	702	1
5	703	1
5	704	1
5	705	1
5	706	1
5	707	1
5	708	1
5	709	1
5	710	1
5	711	1
5	712	1
5	713	1
5	714	1
5	715	1
5	716	1
5	717	1
5	718	1
5	719	1
5	720	1
5	721	1
5	722	1
5	723	1
5	724	1
5	725	1
5	726	1
5	727	1
5	728	1
5	729	1
5	730	1
5	731	1
5	732	1
5	733	1
5	734	1
5	735	1
5	736	1
5	737	1
5	738	1
5	739	1
5	740	1
5	741	1
5	742	1
5	743	1
5	744	1
5	745	1
5	746	1
5	747	1
5	748	1
5	749	1
5	750	1
5	751	1
5	752	1
5	753	1
5	754	1
5	755	1
5	756	1
5	757	1
5	758	1
5	759	-1
5	760	-1
5	761	-1
5	762	-1
5	763	-1
6	0	1
6	31	1
6	44	1
6	80	1
6	172	1
6	191	1
6	636	1
6	649	1
6	754	1
6	764	1
6	765	1
6	766	1
6	767	1
6	768	1
6	769	1
6	770	1
6	771	1
7	176	1
7	244	1
7	542	-1
7	772	1
7	773	1
7	774	1
7	775	1
7	776	1
7	777	1
7	778	1
7	779	1
7	780	1
7	781	1
7	782	1
7	783	1
7	784	1
7	785	1
7	786	1
7	787	1
7	788	1
7	789	1
7	790	1
7	791	-1
7	792	-1
7	793	-1
7	794	-1
7	795	-1
7	796	-1
7	797	-1
8	0	1
8	3	1
8	9	1
8	17	1
8	18	1
8	30	1
8	47	1
8	48	1
8	49	1
8	50	1
8	51	1
8	52	1
8	54	1
8	55	1
8	58	1
8	60	1
8	69	-1
8	70	-1
8	83	1
8	85	-1
8	87	-1
8	88	-1
8	95	1
8	98	1
8	103	1
8	118	1
8	125	-1
8	127	1
8	128	1
8	130	1
8	131	1
8	134	1
8	140	1
8	142	1
8	144	1
8	197	1
8	231	-1
8	622	-1
8	662	-1
8	668	-1
8	699	1
8	798	1
8	799	1
8	800	1
8	801	1
8	802	1
8	803	1
8	804	1
8	805	1
8	806	1
8	807	1
8	808	1
8	809	1
8	810	1
8	811	1
8	812	1
8	813	1
8	814	1
8	815	1
8	816	1
8	817	1
8	818	1
8	819	1
8	820	1
8	821	1
8	822	1
8	823	1
8	824	1
8	825	1
8	826	1
8	827	1
8	828	1
8	829	1
8	830	1
8	831	1
8	832	1
8	833	1
8	834	1
8	835	1
8	836	1
8	837	1
8	838	1
8	839	1
8	840	1
8	841	1
8	842	1
8	843	1
8	844	1
8	845	1
8	846	1
8	847	1
8	848	1
8	849	1
8	850	1
8	851	1
8	852	1
8	853	1
8	854	1
8	855	1
8	856	1
8	857	1
8	858	1
8	859	1
8	860	1
8	861	1
8	862	1
8	863	1
8	864	1
8	865	1
8	866	1
8	867	1
8	868	1
8	869	-1
8	870	-1
8	871	-1
8	872	-1
8	873	-1
8	874	-1
8	875	-1
8	876	-1
8	877	-1
8	878	-1
8	879	-1
8	880	-1
8	881	-1
8	882	-1
8	883	-1
8	884	-1
8	885	-1
8	886	-1
8	887	-1
8	888	-1
8	889	-1
8	890	-1
8	891	-1
8	892	-1
8	893	-1
8	894	-1
8	895	-1
8	896	-1
8	897	-1
8	898	-1
8	899	-1
8	900	-1
8	901	-1
8	902	-1
8	903	-1
8	904	-1
8	905	-1
8	906	-1
8	907	-1
8	908	-1
8	909	-1
8	910	-1
8	911	-1
8	912	-1
8	913	-1
8	914	-1
8	915	-1
8	916	-1
8	917	-1
8	918	-1
8	919	-1
8	920	-1
8	921	-1
8	922	-1
8	923	-1
8	924	-1
8	925	-1
8	926	-1
8	927	-1
8	928	-1
8	929	-1
8	930	-1
8	931	-1
8	932	-1
8	933	-1
8	934	-1
8	935	-1
8	936	-1
8	937	-1
8	938	-1
8	939	-1
8	940	-1
8	941	-1
9	17	1
9	47	1
9	48	1
9	49	1
9	52	1
9	55	1
9	56	1
9	58	1
9	60	1
9	80	1
9	98	1
9	118	1
9	134	1
9	140	1
9	144	1
9	196	1
9	622	1
9	632	1
9	699	1
9	820	1
9	843	1
9	942	1
9	943	1
9	944	1
9	945	1
9	946	1
9	947	1
9	948	1
9	949	1
9	950	1
9	951	1
9	952	1
9	953	1
9	954	1
9	955	1
9	956	1
9	957	1
9	958	1
9	959	-1
10	0	1
10	19	1
10	960	1
10	961	1
10	962	1
10	963	1
10	964	1
10	965	1
10	966	1
10	967	1
10	968	1
10	969	1
10	970	1
10	971	1
10	972	1
11	0	1
11	5	1
11	8	1
11	9	1
11	41	1
11	47	1
11	48	1
11	52	1
11	55	1
11	56	1
11	58	1
11	59	1
11	66	1
11	67	1
11	69	1
11	70	1
11	71	1
11	75	1
11	76	1
11	79	1
11	81	1
11	83	1
11	85	1
11	87	1
11	88	1
11	90	1
11	92	1
11	94	1
11	101	1
11	103	1
11	120	1
11	149	1
11	313	1
11	599	1
11	616	1
11	630	1
11	636	1
11	641	1
11	657	1
11	660	1
11	661	1
11	699	1
11	737	1
11	758	1
11	769	1
11	811	1
11	813	1
11	824	1
11	832	1
11	846	1
11	847	1
11	860	1
11	862	1
11	873	1
11	876	1
11	907	1
11	919	1
11	929	1
11	973	1
11	974	1
11	975	1
11	976	1
11	977	1
11	978	1
11	979	1
11	980	1
11	981	1
11	982	1
11	983	1
11	984	1
11	985	1
11	986	1
11	987	1
11	988	1
11	989	1
11	990	1
11	991	1
11	992	1
11	993	1
11	994	1
11	995	1
11	996	1
11	997	1
11	998	1
11	999	1
11	1000	1
11	1001	1
11	1002	1
11	1003	1
11	1004	1
11	1005	1
11	1006	1
11	1007	1
11	1008	1
11	1009	1
11	1010	1
11	1011	1
11	1012	1
11	1013	1
11	1014	1
11	1015	1
11	1016	1
11	1017	1
11	1018	1
11	1019	1
11	1020	1
11	1021	1
11	1022	1
11	1023	1
11	1024	1
11	1025	1
11	1026	1
11	1027	1
11	1028	1
11	1029	1
11	1030	1
11	1031	1
11	1032	1
11	1033	1
11	1034	1
11	1035	1
11	1036	1
11	1037	1
11	1038	1
11	1039	1
11	1040	1
11	1041	1
11	1042	1
11	1043	1
11	1044	1
11	1045	1
11	1046	1
11	1047	1
11	1048	1
11	1049	1
11	1050	1
11	1051	1
11	1052	1
11	1053	1
11	1054	1
11	1055	1
11	1056	1
11	1057	1
11	1058	1
11	1059	1
11	1060	1
11	1061	1
11	1062	1
11	1063	1
11	1064	1
11	1065	1
11	1066	1
11	1067	1
11	1068	1
11	1069	1
11	1070	1
11	1071	1
11	1072	1
11	1073	1
11	1074	1
11	1075	1
11	1076	1
11	1077	1
11	1078	1
11	1079	1
11	1080	1
11	1081	1
11	1082	1
11	1083	1
11	1084	1
11	1085	1
11	1086	1
11	1087	1
11	1088	1
11	1089	1
11	1090	1
11	1091	1
11	1092	1
11	1093	1
11	1094	1
11	1095	1
11	1096	1
11	1097	1
11	1098	1
11	1099	1
11	1100	1
11	1101	1
11	1102	1
11	1103	1
11	1104	1
11	1105	1
11	1106	1
11	1107	1
11	1108	1
11	1109	1
11	1110	1
11	1111	1
11	1112	1
11	1113	1
11	1114	1
11	1115	1
11	1116	1
11	1117	1
11	1118	1
11	1119	1
11	1120	1
11	1121	1
11	1122	1
11	1123	1
11	1124	1
11	1125	1
11	1126	1
11	1127	1
11	1128	1
11	1129	1
11	1130	1
11	1131	1
11	1132	1
11	1133	1
11	1134	1
11	1135	1
11	1136	1
11	1137	1
11	1138	1
11	1139	1
11	1140	1
11	1141	1
11	1142	1
11	1143	1
11	1144	1
11	1145	1
11	1146	1
11	1147	1
11	1148	1
11	1149	1
11	1150	1
11	1151	1
11	1152	1
11	1153	1
11	1154	1
11	1155	1
11	1156	1
11	1157	1
11	1158	1
11	1159	1
11	1160	1
11	1161	1
11	1162	1
11	1163	1
11	1164	1
11	1165	1
11	1166	1
11	1167	1
11	1168	1
11	1169	1
11	1170	1
11	1171	1
11	1172	1
11	1173	1
11	1174	1
11	1175	1
11	1176	1
11	1177	1
11	1178	1
11	1179	1
11	1180	1
11	1181	1
11	1182	1
11	1183	1
11	1184	1
11	1185	1
11	1186	1
11	1187	1
11	1188	1
11	1189	1
11	1190	1
11	1191	1
11	1192	1
11	1193	1
11	1194	1
11	1195	1
11	1196	1
11	1197	1
11	1198	1
11	1199	1
11	1200	1
11	1201	1
11	1202	1
11	1203	1
11	1204	1
11	1205	1
11	1206	1
11	1207	1
11	1208	1
11	1209	1
11	1210	1
11	1211	1
11	1212	1
11	1213	1
11	1214	1
11	1215	1
11	1216	1
11	1217	1
11	1218	1
11	1219	1
11	1220	1
11	1221	1
11	1222	1
11	1223	1
11	1224	1
11	1225	1
11	1226	1
11	1227	1
11	1228	1
11	1229	1
11	1230	1
11	1231	1
11	1232	1
11	1233	1
11	1234	1
11	1235	1
11	1236	1
11	1237	1
11	1238	1
11	1239	1
11	1240	1
11	1241	1
11	1242	1
11	1243	1
11	1244	-1
13	531	1
13	1245	1
13	1246	1
13	1247	1
13	1248	1
13	1249	1
13	1250	1
13	1251	1
13	1252	1
13	1253	1
13	1254	1
13	1255	1
13	1256	1
13	1257	1
13	1258	1
14	0	1
14	8	1
14	17	1
14	29	-1
14	43	1
14	47	1
14	55	1
14	58	1
14	59	1
14	60	1
14	80	1
14	94	1
14	636	1
14	760	1
14	806	-1
14	1072	-1
14	1199	1
14	1259	1
14	1260	1
14	1261	1
14	1262	1
14	1263	1
14	1264	1
14	1265	1
14	1266	1
14	1267	1
14	1268	1
14	1269	1
14	1270	1
14	1271	1
14	1272	1
14	1273	1
14	1274	1
14	1275	1
14	1276	1
14	1277	1
14	1278	1
14	1279	1
14	1280	1
14	1281	1
14	1282	1
14	1283	1
14	1284	1
14	1285	1
14	1286	1
14	1287	1
14	1288	1
14	1289	1
14	1290	1
14	1291	1
14	1292	1
14	1293	1
14	1294	1
14	1295	1
14	1296	1
14	1297	1
14	1298	1
14	1299	1
14	1300	1
14	1301	1
14	1302	1
14	1303	1
14	1304	1
14	1305	-1
14	1306	-1
14	1307	-1
14	1308	-1
14	1309	-1
14	1310	-1
14	1311	-1
14	1312	-1
14	1313	-1
14	1314	-1
15	757	1
15	1315	1
16	0	1
16	58	1
16	87	1
16	100	1
16	159	1
16	245	1
16	510	1
16	530	1
16	641	1
16	658	1
16	780	1
16	866	1
16	906	-1
16	911	1
16	997	1
16	1024	1
16	1072	1
16	1079	1
16	1088	1
16	1117	1
16	1118	1
16	1133	1
16	1159	1
16	1165	1
16	1174	1
16	1213	1
16	1220	1
16	1250	1
16	1253	-1
16	1268	-1
16	1307	1
16	1316	1
16	1317	1
16	1318	1
16	1319	1
16	1320	1
16	1321	1
16	1322	1
16	1323	1
16	1324	1
16	1325	1
16	1326	1
16	1327	1
16	1328	1
16	1329	1
16	1330	1
16	1331	1
16	1332	1
16	1333	1
16	1334	1
16	1335	1
16	1336	1
16	1337	1
16	1338	1
16	1339	1
16	1340	1
16	1341	1
16	1342	1
16	1343	1
16	1344	1
16	1345	1
16	1346	1
16	1347	1
16	1348	1
16	1349	1
16	1350	1
16	1351	1
16	1352	1
16	1353	1
16	1354	1
16	1355	1
16	1356	1
16	1357	1
16	1358	1
16	1359	1
16	1360	1
16	1361	1
16	1362	1
16	1363	1
16	1364	1
16	1365	1
16	1366	1
16	1367	1
16	1368	1
16	1369	1
16	1370	1
16	1371	1
16	1372	1
16	1373	1
16	1374	1
16	1375	1
16	1376	1
16	1377	1
16	1378	1
16	1379	1
16	1380	1
16	1381	1
16	1382	1
16	1383	1
16	1384	1
16	1385	1
16	1386	1
16	1387	1
16	1388	1
16	1389	1
16	1390	1
16	1391	1
16	1392	1
16	1393	1
16	1394	1
16	1395	1
16	1396	1
16	1397	1
16	1398	1
16	1399	1
16	1400	1
16	1401	1
16	1402	1
16	1403	1
16	1404	1
16	1405	1
16	1406	1
16	1407	1
16	1408	1
16	1409	1
16	1410	1
16	1411	1
16	1412	1
16	1413	1
16	1414	1
16	1415	1
16	1416	1
16	1417	1
16	1418	1
16	1419	1
16	1420	1
16	1421	1
16	1422	1
16	1423	1
16	1424	1
16	1425	1
16	1426	1
16	1427	1
16	1428	1
16	1429	1
16	1430	-1
16	1431	-1
16	1432	-1
16	1433	-1
16	1434	-1
16	1435	-1
16	1436	-1
16	1437	-1
16	1438	-1
16	1439	-1
16	1440	-1
16	1441	-1
17	0	1
17	3	1
17	8	1
17	9	1
17	36	1
17	47	1
17	48	1
17	54	1
17	55	1
17	56	1
17	57	1
17	58	1
17	60	1
17	98	1
17	108	1
17	114	1
17	140	1
17	142	1
17	143	1
17	144	1
17	145	1
17	146	1
17	147	1
18	0	1
18	8	1
18	9	1
18	47	1
18	52	1
18	55	1
18	128	1
18	130	1
18	134	1
18	142	1
18	818	1
18	833	1
18	1442	1
18	1443	1
18	1444	1
19	0	1
19	10	1
19	22	1
19	636	1
19	801	1
19	962	1
19	963	1
19	964	1
19	967	1
19	968	1
19	969	1
19	972	1
19	1445	1
19	1446	1
19	1447	1
19	1448	1
19	1449	1
